Year,type,Category,Dollars,Category_name
1998,exp,402,215.02831869,Aging
1998,exp,406,74.77033122,Agriculture
1998,exp,416,426.6862028,Central Management
1998,exp,418,1300.2981326400002,Children And Family Services
1998,exp,420,465.00162715,Commerce And Economic Opportunity
1998,exp,422,198.90832422,Natural Resources
1998,exp,426,987.0140263100001,Corrections
1998,exp,427,181.27781240000002,Employment Security
1998,exp,444,3934.13656738,Human Services
1998,exp,478,113.13410134,Family Services Net Medicaid
1998,exp,482,161.09740625,Public Health
1998,exp,492,440.0671357,Revenue
1998,exp,494,1977.7148153399999,Transportation
1998,exp,532,310.20428102999995,Environmental Protect Agency
1998,exp,557,367.42032926,Il State Toll Highway Auth
1998,exp,901,559.1134994299999,State Pension Contribution
1998,exp,904,729.7605494300001,State Employee Healthcare
1998,exp,910,60.06311565,Legislative
1998,exp,920,266.66452730000003,Judicial
1998,exp,930,415.90526666000005,Elected Officers
1998,exp,941,436.58395779,Public Safety
1998,exp,944,154.2265805,Bus & Profession Regulation
1998,exp,945,5398.44057766,Medicaid
1998,exp,946,256.61600266,Capital Improvement
1998,exp,948,603.92190613,Other Departments
1998,exp,949,94.33091046,Other Boards & Commissions
1998,exp,959,5071.82180088,K-12 Education
1998,exp,960,2081.78341281,University Education
1998,exp,903,484.53383483,Debt Service
1998,exp,970,3476.47340622,Local Govt Transfers
1999,exp,402,236.28146299000002,Aging
1999,exp,406,90.16332858,Agriculture
1999,exp,416,474.11201711,Central Management
1999,exp,418,1345.5399296300002,Children And Family Services
1999,exp,420,525.9070425799999,Commerce And Economic Opportunity
1999,exp,422,237.41977759,Natural Resources
1999,exp,426,1103.8591784300002,Corrections
1999,exp,427,184.49014449,Employment Security
1999,exp,444,4128.57649542,Human Services
1999,exp,478,120.39660468000001,Family Services Net Medicaid
1999,exp,482,169.31931811,Public Health
1999,exp,492,479.30071755,Revenue
1999,exp,494,1895.0874249400001,Transportation
1999,exp,532,320.4168053,Environmental Protect Agency
1999,exp,557,461.11222988,Il State Toll Highway Auth
1999,exp,901,661.81689005,State Pension Contribution
1999,exp,904,779.0175351800001,State Employee Healthcare
1999,exp,910,63.05867841,Legislative
1999,exp,920,295.29723237,Judicial
1999,exp,930,449.14351093,Elected Officers
1999,exp,941,465.02733164999995,Public Safety
1999,exp,944,167.17631655000002,Bus & Profession Regulation
1999,exp,945,5767.25773417,Medicaid
1999,exp,946,400.63922838999997,Capital Improvement
1999,exp,948,601.70444055,Other Departments
1999,exp,949,107.20270191,Other Boards & Commissions
1999,exp,959,5591.5897007700005,K-12 Education
1999,exp,960,2186.44281633,University Education
1999,exp,903,507.52762319,Debt Service
1999,exp,970,4031.5164429099996,Local Govt Transfers
2000,exp,402,261.04560476,Aging
2000,exp,406,105.25863086,Agriculture
2000,exp,416,488.39513479000004,Central Management
2000,exp,418,1358.68227395,Children And Family Services
2000,exp,420,706.5316869300001,Commerce And Economic Opportunity
2000,exp,422,277.93209348,Natural Resources
2000,exp,426,1190.4217942999999,Corrections
2000,exp,427,189.35984993,Employment Security
2000,exp,444,4238.06760915,Human Services
2000,exp,478,141.01060519,Family Services Net Medicaid
2000,exp,482,185.00055243,Public Health
2000,exp,492,499.8511602,Revenue
2000,exp,494,2480.03248334,Transportation
2000,exp,532,359.19852710000004,Environmental Protect Agency
2000,exp,557,434.67865002999997,Il State Toll Highway Auth
2000,exp,901,728.93652195,State Pension Contribution
2000,exp,904,927.48653323,State Employee Healthcare
2000,exp,910,68.87533675,Legislative
2000,exp,920,331.45559237,Judicial
2000,exp,930,497.70209461,Elected Officers
2000,exp,941,489.39412411,Public Safety
2000,exp,944,139.62594961,Bus & Profession Regulation
2000,exp,945,6442.31650401,Medicaid
2000,exp,946,829.17508889,Capital Improvement
2000,exp,948,619.83559412,Other Departments
2000,exp,949,132.08594242,Other Boards & Commissions
2000,exp,959,6028.52688655,K-12 Education
2000,exp,960,2282.34296585,University Education
2000,exp,903,543.84052911,Debt Service
